Date,Shot,Time_Start,Time_End,Mean_Ratio,Mean_Bt_Axis,Mean_Bp_Max,Classification
251220,5,500,530,0.0948786928849158,0.0021125931837103,0.0258926565483186,FRC
251220,6,500,530,0.0665977987843187,0.00103783960381605,0.0259036651188202,FRC
251220,7,500,530,0.141020953617482,0.00370648580429406,0.0262891137623007,Spheromak
251220,8,500,530,0.128244555601558,0.00434167425504869,0.0264111844314035,Spheromak
251220,9,500,530,0.327421390104897,-0.00540066243673561,0.0274501367195076,Spheromak
251220,10,500,530,0.169133346673497,0.00425442997421869,0.02598170840093,Spheromak
251220,12,500,530,0.170928889423235,0.0050672830137059,0.0261481012461022,Spheromak
251220,13,500,530,0.138949908070532,0.00376961196048338,0.0255419732433642,Spheromak
251220,14,500,530,0.0809991792182704,0.00263352291826578,0.0269053159737044,FRC
251220,15,500,530,0.129667158227664,0.00388946875839404,0.0273219970301827,Spheromak
251220,16,500,530,0.144118865348765,-0.00303281863036828,0.02595684099658,Spheromak
251220,17,500,530,0.188244592632866,-0.000361648315504544,0.0270803045370093,Spheromak
251220,18,500,530,0.078498461180883,-0.000514207925311358,0.0273970931111566,FRC
251220,19,500,530,0.169203623822397,0.00495960732752092,0.0268152427774873,Spheromak
251220,20,500,530,0.169600155697964,0.00503220883323814,0.0268045507946645,Spheromak
251220,21,500,530,0.178139711674554,0.00576642332525924,0.0277163052406351,Spheromak
251220,22,500,530,0.269353768806528,0.00743779930375967,0.0271707447271684,Spheromak
251220,23,500,530,0.204540806873368,0.000986570233264627,0.0272590530762204,Spheromak
250206,2,490,510,0.384509007190436,0.0252103095443519,0.065461035666181,Spheromak
250206,3,490,510,0.487140963204658,0.0315829728717126,0.0655000550271995,Spheromak
250206,4,490,510,0.49144001754353,0.0326833757060296,0.0671792966956549,Spheromak
250206,5,490,510,0.521312880316779,0.0343883793213258,0.0664506470242021,Spheromak
250206,6,490,510,0.455173216262644,0.0290504256576396,0.0651724265797239,Spheromak
250206,7,490,510,0.490535042254686,0.0325365739771191,0.066775184017613,Spheromak
250206,8,490,510,0.346002882161171,0.0229119325746675,0.0670609121363852,Spheromak
250206,9,490,510,0.337472587608474,0.0223555759835029,0.0664018788212148,Spheromak
250206,10,490,510,0.352906658954397,0.0235187553175159,0.0669662773186534,Spheromak
250206,11,490,510,0.335308046393735,0.0223391616011075,0.0669693575393561,Spheromak
250206,12,490,510,0.454450430730776,0.029982921488334,0.066988495236204,Spheromak
250206,13,490,510,0.352751478340007,0.0232044326680241,0.066520561566044,Spheromak
250206,14,490,510,0.262521380053705,0.017620566088464,0.0674921195651721,Spheromak
250206,15,490,510,0.248807984715168,0.0166032130162986,0.0665847751375822,Spheromak
250206,16,490,510,0.241769044284495,0.0162188488588072,0.0676510324810829,Spheromak
250206,17,490,510,0.265723180223293,0.0173366773779695,0.0661538428449594,Spheromak
250206,18,490,510,0.272486271244296,0.0179742919077554,0.0665634864341666,Spheromak
250206,19,490,510,0.276813814630343,0.0177421676625032,0.0658897868006952,Spheromak
