81.593348	140.11907	300.44371	352.48935
81.923673	140.558	300.86688	352.68781
82.857443	141.21808	301.52285	353.39368
83.342581	141.67812	301.62848	353.5556
83.786848	142.23895	302.45762	354.16555
84.072936	142.43422	302.19372	353.96926
84.589351	143.03751	302.53879	354.06534
84.958868	143.09407	302.6728	354.2705
85.422953	143.58755	303.0871	354.67101
85.396584	143.62536	303.24915	354.87542
85.550476	143.79467	303.50407	354.83118
85.78568	144.234	303.83491	355.30905
85.814642	144.33691	303.97673	355.39969
85.984647	144.56215	304.11575	355.17793
86.26776	144.55728	303.77322	355.14979
86.426151	144.66846	303.9167	355.10299
85.807863	143.92826	303.22941	354.43296
86.040486	143.87898	303.14559	354.50531
86.09666	144.27481	303.55494	355.00708
86.08195	144.01373	303.4089	354.81124
85.871356	144.1263	303.34993	354.62559
85.715598	144.10471	303.29372	354.58253
85.644192	144.05992	303.38667	354.57725
85.700825	143.81151	303.28968	354.57322
85.275712	143.63972	303.24882	354.352
85.384605	143.56938	302.99612	354.17741
85.271621	143.43637	303.04768	354.19452
84.760952	143.07134	302.53343	353.80572
84.938189	143.05322	302.52816	353.72024
84.604733	143.05301	302.43994	353.53988
84.473121	142.69615	302.07059	353.37941
84.052668	142.33578	301.7284	352.92055
364.96123	423.4788	582.60827	634.47586
366.1353	423.8836	582.64773	634.34302
365.75643	424.35887	583.24483	634.96159
365.52494	424.41702	582.98183	634.81683
366.51084	425.10314	583.87045	635.55131
365.91894	424.53731	583.25729	634.60218
366.9368	424.91151	583.59052	634.86793
367.43052	426.02017	584.34536	635.6462
366.7799	425.65888	584.204	635.42391
368.34396	425.59218	584.2913	635.42673
368.29968	426.40972	584.45722	636.07213
367.80146	426.05478	584.22947	635.60357
368.34958	425.81697	584.22375	635.62242
368.34629	426.14873	584.52896	635.53185
368.27604	426.09645	584.46819	635.53894
368.00134	426.22517	584.48841	635.34494
368.3643	425.99691	584.19128	635.25649
368.4477	426.33718	584.24416	635.51649
368.17755	426.23482	584.32929	635.04474
368.39493	426.34253	584.51722	635.20814
368.42016	426.30921	584.2281	634.94366
368.05484	426.273	584.28889	634.92791
368.27484	425.96007	583.85686	634.40739
368.11348	425.88254	583.86874	634.49151
367.63538	425.60576	583.53759	634.15811
367.98215	425.29739	583.32947	633.58545
367.23743	424.9791	582.85328	633.62393
367.40465	424.88005	582.80054	633.19029
367.33915	424.62484	582.52876	633.33707
366.31525	424.30361	582.14784	633.22552
366.24354	423.96709	581.73187	632.10779
366.10729	423.8534	581.99415	632.14388
659.60042	716.38332	872.89912	924.82424
660.12525	717.04315	873.34317	925.23621
659.71555	717.08837	873.40793	924.93071
660.41318	717.51991	873.71816	925.72282
661.21275	717.74406	874.02697	925.91505
660.93695	718.03655	874.34241	925.74779
660.90546	718.08449	874.25842	925.77109
661.57196	718.38428	874.41728	925.97574
661.78159	718.4936	874.55008	925.96934
661.81444	718.61112	874.4867	925.99653
661.73772	718.76888	874.51906	925.83739
662.56065	718.89655	874.38549	925.89714
662.46404	719.045	874.73494	925.72623
662.28957	719.10731	874.60342	926.00413
662.27317	719.07164	874.68363	925.9866
663.01992	719.09049	874.59104	925.82245
662.54183	719.11542	874.55398	925.77839
662.58075	719.39113	874.87881	926.06594
662.80402	719.27457	874.70282	925.74685
662.39409	719.11403	874.407	925.44031
661.72457	718.95712	874.40654	925.32825
661.88889	718.99391	874.32338	925.31405
662.39441	718.7828	874.06038	925.03012
662.09962	718.35227	873.97455	925.0694
661.91318	718.4284	873.93563	924.79131
661.64092	718.06526	873.85435	924.78064
661.29649	718.01682	873.72682	924.7348
661.26595	717.78013	873.49735	924.57808
661.10279	717.6549	873.24989	924.31163
661.06573	717.58535	872.95649	923.92979
660.40797	717.38727	872.7937	923.8372
659.66675	716.60992	871.97914	922.74882
